disease,category,cause,transmission,common_symptoms,prevention,medical_note,source,source_url
Common Cold,Infectious / Respiratory,"Viruses, most commonly rhinoviruses","Direct contact or airborne droplets from sneezes and coughs","Runny nose, sore throat, cough, congestion, mild headache, sneezing","Frequent hand washing and avoiding face touching","Usually self-limiting; antibiotics are ineffective against viral colds",Mayo Clinic,https://www.mayoclinic.org/diseases-conditions/common-cold/symptoms-causes/syc-20351605
Pneumonia,Infectious / Respiratory,"Bacterial, viral, or fungal infections","Inhalation of airborne droplets or respiratory spread","Cough with phlegm, fever, chills, difficulty breathing, sharp chest pain","Pneumococcal and influenza vaccination and smoking cessation","Clinical assessment and appropriate testing are needed to determine the cause",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/pneumonia/index.html
Bronchitis,Infectious / Respiratory,Viral infections or exposure to smoke and air pollutants,Airborne droplets and direct contact,"Hacking cough producing mucus, fatigue, shortness of breath","Avoid smoking and follow recommended influenza and pneumonia vaccination","Acute bronchitis often resolves in weeks; chronic symptoms require medical evaluation",National Institutes of Health (NIH),https://www.nhlbi.nih.gov/health/bronchitis
Pertussis (Whooping Cough),Infectious / Respiratory,Bordetella pertussis bacteria,Airborne respiratory droplets,"Severe hacking cough with a whooping sound, runny nose, mild fever",DTaP and Tdap vaccination series,"It can be dangerous for infants; early medical assessment is important",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/pertussis/index.html
Type 2 Diabetes,Chronic / Metabolic,Insulin resistance or inadequate insulin production,Non-communicable; genetics obesity inactivity and diet can contribute,"Excessive thirst, frequent urination, unexplained weight loss, fatigue","Balanced high-fiber diet, regular exercise, and weight management","Monitoring may include fasting blood glucose and HbA1c testing",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/diabetes
Type 1 Diabetes,Chronic / Metabolic,Autoimmune destruction of insulin-producing pancreatic cells,Non-communicable; genetic and environmental factors can contribute,"Extreme thirst, frequent urination, constant hunger, sudden weight loss","There is no known primary prevention currently available","Treatment requires healthcare assessment and prescribed insulin",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/diabetes/basics/what-is-type-1-diabetes.html
Obesity,Chronic / Metabolic,Caloric intake exceeding energy expenditure over time,Non-communicable; dietary habits sedentary lifestyle and genetics can contribute,"Excess body fat, joint strain, breathlessness, fatigue","Nutritious balanced diet and regular physical activity","It is a major risk factor for cardiovascular disease and diabetes; assessment should be individualized",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/obesity-and-overweight
Gout,Chronic / Metabolic,Accumulation of uric acid crystals in joints,Non-communicable; diet alcohol and genetics can contribute,"Intense joint pain, swelling, redness, and lingering discomfort","Limit alcohol and purine-rich foods and maintain hydration","Treatment should be guided by a healthcare professional",National Institutes of Health (NIH),https://www.niams.nih.gov/health-topics/gout
Coronary Artery Disease (CAD),Chronic / Cardiovascular,Atherosclerosis narrowing the coronary arteries,Non-communicable; genetics cholesterol smoking and hypertension can contribute,"Chest pain, shortness of breath, fatigue, palpitations","Heart-healthy diet, exercise, and quitting smoking","It can lead to a heart attack; chest pain with emergency symptoms requires urgent care",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/cardiovascular-diseases-(cvds)
Heart Failure,Chronic / Cardiovascular,Inability of the heart to pump blood efficiently due to damage,Non-communicable; coronary disease hypertension and diabetes can contribute,"Shortness of breath, fatigue, swelling in legs and ankles","Control blood pressure and diabetes and follow individualized sodium guidance","Management requires prescribed treatment and regular clinical follow-up",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/heart-disease/about/heart-failure.html
Dengue Fever,Infectious / Vector-Borne,Dengue virus transmitted by Aedes mosquitoes,Vector-borne through mosquito bites; not usually person-to-person,"High fever, severe headache, eye pain, joint or muscle pain, rash","Use insect repellent, remove standing water, and use window screens","Seek medical advice; aspirin and ibuprofen may be unsafe when bleeding risk is present",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue
Chikungunya,Infectious / Vector-Borne,Chikungunya virus carried by Aedes mosquitoes,Vector-borne through mosquito bites,"Sudden fever, severe joint pain, muscle pain, headache","Prevent mosquito bites and remove standing water","Joint pain can persist; medical assessment is advised for severe or persistent symptoms",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/chikungunya/index.html
Zika Virus Disease,Infectious / Vector-Borne,Zika virus spread by Aedes mosquitoes,"Vector-borne, sexual transmission, and mother-to-fetus transmission","Mild fever, rash, conjunctivitis, muscle and joint pain","Use mosquito repellent, practice safer sex, and follow travel precautions","Infection during pregnancy can harm the developing fetus; seek medical advice promptly",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/zika-virus
Yellow Fever,Infectious / Vector-Borne,Yellow fever virus transmitted by mosquitoes,Vector-borne through infected mosquito bites,"Fever, muscle pain, headache, loss of appetite, jaundice","Yellow fever vaccination where recommended and bite protection","Severe illness can affect the liver and kidneys and requires urgent care",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/yellow-fever
Typhoid Fever,Infectious / Gastrointestinal,Salmonella Typhi bacteria,Ingestion of food or water contaminated by feces,"Prolonged high fever, headache, stomach pain, constipation or diarrhea","Typhoid vaccination, safe water, and thorough cooking","Treatment requires medical assessment and prescribed antibiotics",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/typhoid-fever/index.html
Hepatitis A,Infectious / Gastrointestinal,Hepatitis A virus infecting liver cells,Fecal-oral route through contaminated food water or close contact,"Fatigue, nausea, abdominal pain, dark urine, jaundice","Hepatitis A vaccination, safe drinking water, and hand hygiene","Medical evaluation is recommended for jaundice or severe symptoms",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/hepatitis/hav/index.htm
Gastroenteritis,Infectious / Gastrointestinal,Viral or bacterial pathogens,Fecal-oral route contaminated food or direct contact,"Watery diarrhea, abdominal cramps, nausea, vomiting, low fever","Hand hygiene, safe food preparation, and recommended vaccination","Preventing dehydration with oral rehydration is important; severe dehydration needs urgent care",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/norovirus/index.html
HIV / AIDS,Infectious / Blood-borne & STI,Human Immunodeficiency Virus targeting immune CD4 T cells,"Sexual contact, contaminated needles, blood, and mother-to-child transmission","Flu-like illness early on, weight loss, recurrent fevers later","PrEP when appropriate, consistent condom use, and safe needle practices","Antiretroviral treatment suppresses the virus; testing and clinical care are essential",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/hiv-aids
Hepatitis C,Infectious / Blood-borne,Hepatitis C virus,Direct contact with infected blood,"Often asymptomatic for years; fatigue, nausea, jaundice","Avoid sharing needles and use sterile medical equipment","Direct-acting antivirals can cure many infections under medical supervision",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/hepatitis-c
Syphilis,Infectious / STI,Treponema pallidum bacteria,Direct contact with a syphilis sore during sexual activity,"Painless sores, non-itchy rashes, and possible later neurological effects","Condom use, regular STI screening, and partner treatment","It is treatable; prompt testing and prescribed treatment are important",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/syphilis/index.html
Gonorrhea,Infectious / STI,Neisseria gonorrhoeae bacteria,Sexual contact with an infected partner,"Painful urination, abnormal genital discharge, lower abdominal pain","Condom use and routine STI testing","Antibiotic resistance is increasing; treatment must be prescribed",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/gonorrhea/index.html
Chlamydia,Infectious / STI,Chlamydia trachomatis bacteria,Unprotected sexual contact,"Often asymptomatic; painful urination, unusual discharge, pelvic inflammatory disease","Condom use and routine annual screening","Testing and prescribed antibiotics are needed; partners may also need treatment",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/chlamydia/index.html
Hypothyroidism,Chronic / Endocrine,Underactive thyroid producing insufficient hormones,Non-communicable; autoimmune disease iodine deficiency and genetics can contribute,"Fatigue, weight gain, cold intolerance, dry skin, constipation","Adequate iodine intake and monitoring when clinically indicated","Treatment requires medical assessment and prescribed thyroid hormone",National Institutes of Health (NIH),https://www.niddk.nih.gov/health-information/endocrine-diseases/hypothyroidism
Hyperthyroidism,Chronic / Endocrine,Overactive thyroid producing excess hormones,Non-communicable; autoimmune disease and thyroid nodules can contribute,"Weight loss, rapid heartbeat, anxiety, tremors, heat intolerance","Avoid excess iodine and seek assessment for persistent symptoms","Treatment may include prescribed medicines or other specialist care",National Institutes of Health (NIH),https://www.niddk.nih.gov/health-information/endocrine-diseases/hyperthyroidism
Osteoporosis,Chronic / Musculoskeletal,Decrease in bone mineral density and mass,Non-communicable; aging menopause and nutrient deficiency can contribute,"Often silent until fracture; height loss or stooped posture","Adequate calcium and vitamin D and weight-bearing exercise","Diagnosis may require bone-density testing",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/musculoskeletal-conditions
Chronic Kidney Disease (CKD),Chronic / Renal,Gradual loss of kidney function over time,Non-communicable; diabetes hypertension and kidney disease can contribute,"Fatigue, ankle swelling, persistent itching, urination changes","Control blood sugar and blood pressure and follow medical hydration advice","Evaluation may include eGFR and urine albumin testing",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/kidney-disease/about/index.html
Kidney Stones,Renal,Mineral and salt deposits forming inside the kidneys,Non-communicable; dehydration sodium intake and other factors can contribute,"Severe flank pain, blood in urine, cloudy urine, nausea","Drink adequate water and reduce dietary sodium as advised","Large or obstructing stones need medical treatment",National Institutes of Health (NIH),https://www.niddk.nih.gov/health-information/urologic-diseases/kidney-stones
UTI,Infectious / Renal,Bacterial infection entering the urinary tract,Usually not spread between people; bacteria can enter through the urethra,"Strong urge to urinate, burning, cloudy or strong-smelling urine","Hydration, appropriate hygiene, and urinating after intercourse","Testing and prescribed antibiotics may be needed",Centers for Disease Control and Prevention (CDC),https://www.cdc.gov/antibiotic-use/uti.html
NAFLD / MASLD,Chronic / Hepatic & Metabolic,Accumulation of excess fat in liver cells,Non-communicable; obesity type 2 diabetes and metabolic syndrome can contribute,"Often silent; fatigue or upper right abdominal discomfort","Healthy weight, balanced diet, exercise, and limiting added sugar","It can progress to liver inflammation or scarring and needs medical evaluation",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/hepatitis
Peptic Ulcer Disease,Gastrointestinal,Sores on the stomach or intestinal lining caused by H. pylori or NSAIDs,Usually non-communicable; H. pylori can spread through contaminated food or water,"Burning stomach pain, bloating, heartburn","Hand hygiene and avoiding chronic overuse of NSAIDs","Testing and prescribed treatment are needed",National Institutes of Health (NIH),https://www.niddk.nih.gov/health-information/digestive-diseases/peptic-ulcers
Celiac Disease,Chronic / Autoimmune & Gastrointestinal,Immune reaction to dietary gluten,Non-communicable; genetic predisposition can contribute,"Chronic diarrhea, bloating, fatigue, weight loss, anemia","There is no primary prevention; confirmed cases require a strict gluten-free diet","Medical testing is needed before changing diet for diagnosis",National Institutes of Health (NIH),https://www.niddk.nih.gov/health-information/digestive-diseases/celiac-disease
IBS,Chronic / Gastrointestinal,Disorder affecting bowel function and brain-gut interaction,Non-communicable; stress food sensitivities and other factors can contribute,"Abdominal cramping, pain, bloating, diarrhea or constipation","Stress management, identifying triggers, and individualized dietary guidance","Diagnosis requires clinical assessment to exclude other causes",National Institutes of Health (NIH),https://www.niddk.nih.gov/health-information/digestive-diseases/irritable-bowel-syndrome
Cataracts,Chronic / Ophthalmological,Clouding of the eye lens due to protein changes over time,Non-communicable; aging UV exposure diabetes and smoking can contribute,"Cloudy vision, faded colors, nighttime glare","UV-blocking sunglasses, smoking cessation, and blood-sugar management","Vision changes require an eye examination",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/blindness-and-vision-impairment
Glaucoma,Chronic / Ophthalmological,Optic nerve damage associated with high intraocular pressure,Non-communicable; genetics age and eye pressure can contribute,"Gradual loss of peripheral vision or tunnel vision","Regular comprehensive eye examinations","Lost vision cannot be recovered, so early assessment is important",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/blindness-and-vision-impairment
Alzheimer's Disease,Chronic / Neurological,Brain-cell degeneration involving amyloid plaques and tau changes,Non-communicable; age genetics and cardiovascular health can contribute,"Memory loss, confusion, difficulty solving problems, mood changes","Mental stimulation, regular exercise, and healthy diet","Evaluation and ongoing support should be guided by healthcare professionals",National Institutes of Health (NIH),https://www.nia.nih.gov/health/alzheimers-disease-fact-sheet
Migraine,Chronic / Neurological,Abnormal brain activity affecting nerve signals and blood vessels,Non-communicable; genetics hormones stress and diet can contribute,"Throbbing headache, nausea, and light or sound sensitivity","Avoid personal triggers and maintain regular sleep and eating patterns","Persistent or severe headaches need medical assessment",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/headache-disorders
Epilepsy,Chronic / Neurological,Disorder involving abnormal electrical activity in the brain,Non-communicable; genetics trauma stroke and infections can contribute,"Temporary confusion, staring spells, stiff muscles, seizures","Prevent head injuries and follow prescribed treatment","Seizures require medical assessment and safety planning",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/epilepsy
Major Depressive Disorder,Mental Health,Interaction of social psychological and biological factors,Non-communicable; genetics brain chemistry and life stressors can contribute,"Persistent sadness, loss of interest, fatigue, sleep problems","Stress management, social support, and early professional help","Treatment may include psychotherapy and prescribed medication",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/depression
Iron Deficiency Anemia,Nutritional / Metabolic,Inadequate iron intake blood loss or reduced absorption,Non-communicable; dietary and physiological factors can contribute,"Fatigue, weakness, pale skin, shortness of breath, dizziness","Iron-rich foods paired with vitamin C when appropriate","Confirmation requires blood testing and medical evaluation",National Institutes of Health (NIH),https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/
Scurvy,Nutritional / Deficiency,Severe vitamin C deficiency,Non-communicable; inadequate intake of fresh produce can contribute,"Fatigue, bleeding gums, bruising, joint pain","Consume vitamin-C-rich foods such as citrus fruits berries and vegetables","Medical advice is recommended for suspected deficiency",National Institutes of Health (NIH),https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/
Rheumatoid Arthritis,Chronic / Autoimmune,Autoimmune attack on the joint lining,Non-communicable; genetics hormones and smoking can contribute,"Tender swollen joints, symmetrical involvement, morning stiffness","Smoking cessation and early medical assessment","Prescribed disease-modifying treatment can prevent joint damage",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/musculoskeletal-conditions
Psoriasis,Chronic / Autoimmune & Dermatological,Autoimmune condition causing rapid skin-cell growth,Non-communicable; genetics immune factors and stress can contribute,"Raised scaly patches, dry cracked skin, itching","Avoid skin trauma, manage stress, and avoid smoking","Treatment should be guided by a healthcare professional",World Health Organization (WHO),https://www.who.int/news-room/fact-sheets/detail/psoriasis
